Food,Price Per Serving [$],Variable Name,Serving Size,Weight [g],Weight [oz],Calcium [mg],percent water,Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Cholesterol [mg],Total Fat [g],Iron [mg],Magnesium [mg],Sodium [mg],Phosphorous [mg],Potassium [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Riboflavin [mg],Vit A [RE],Vit B6 [mg],Vit C [mg],Food type
Peaches juice pack,0.79,peachJuice,1 cup,248,8.747952,15,88,109,1.6,28.7,4.1,0,0.1,0.7,18,11,43,317,0.3,1.44,0.02,0.04,94,0.05,9,FRUITS
Peaches raw whole,1.44,peach,1 ea,87,3.068838,4,88,37,0.6,9.6,2,0,0.1,0.1,6,0,10,171,0.1,0.86,0.01,0.04,47,0.02,6,FRUITS
Peanut Butter,0.07,peanutButter,1 tbsp,16,0.564384,5,2,95,4.6,2.5,1.2,0,8.2,0.3,28,75,60,110,0.5,2.15,0.02,0.02,0,0.06,0,"NUTS, SEEDS AND PRODUCTS"
Pears raw Bartlett,0.84,pear,1 ea,166,5.855484,19,84,98,0.7,25.1,5,0,0.7,0.4,9,1,18,208,0.2,0.17,0.03,0.07,3,0.03,7,FRUITS
"Peas, green canned drained",0.21,pea,1/2 cup,85,2.99829,17,82,59,3.8,10.7,5.4,0,0.3,0.8,15,186,57,147,0.6,0.62,0.1,0.07,65,0.05,8,VEGETABLES AND LEGUMES
Pepper black,0.05,pepper,1 tsp,2,0.070548,9,11,5,0.2,1.4,0.3,0,0.1,0.5,4,1,3.67,26.7,0,0.02,0.01,0.01,0,0,0,MISCELLANEOUS
Pickles dill medium,0.37,pickle,1 pickle,65,2.29281,17,93,5,0.5,1.4,0.9,0,0.1,0.7,8,928,14,130,0.2,0.01,0.01,0.01,7,0.01,4,MISCELLANEOUS
Pine nuts/pinyon dried,1.11,pineNut,1 oz,28,0.987672,2,6,161,3.3,5.5,1.7,0,17.3,0.9,67,20,10,178,1.2,1.24,0.35,0.06,1,0.08,1,"NUTS, SEEDS AND PRODUCTS"
"Pineapple raw chunks, dices",0.98,pineapple,1 cup,155,5.46747,11,86,76,0.6,19.2,2.9,0,0.7,0.6,21,2,11,175,0.1,0.65,0.14,0.06,4,0.14,24,FRUITS
"Pineapple, juice canned",0.66,pineappleJuice,1 cup,250,8.8185,43,86,140,0.8,34.4,0.8,0,0.2,0.6,34,3,20,335,0.3,0.64,0.14,0.06,1,0,27,FRUITS
